RMSD,Area,ED,Energy,SS,ResidueLength,PairNumber
2.742,4722.92,4019.64,-1.60E+03,13,79,317
1.557,4059.12,2191.03,-1146.08,20,54,165
2.362,4773.56,2787.99,-1263.38,46,67,224
3.892,8271.27,9545.98,-2848.93,26,138,554
4.454,7102.16,14148.8,-2381.15,85,120,809
4.991,7015.24,7336.79,-1699.8,22,95,427
2.655,8620.28,24949.9,-3198.06,35,157,1519
2.811,9238.73,39245.5,-2.59E+03,15,196,1885
0,12276.4,59742,-5101,56,249,2826
4.322,14165.5,140950,-1.41E+03,82,315,5844
0,7069.95,15336.6,-3000.09,81,133,847
4.524,10768.8,28521,-3732.37,61,214,1469
0,10255.7,66668,-6050,97,207,3048
0,6411.13,9698,-2686,59,104,652
4.339,8766.37,11524.1,-3270.78,44,156,654
3.217,9764.47,51960.7,-2.51E+03,16,188,2599
2.504,15208.6,90305.4,-2.28E+03,53,223,2059
0,6628.08,6490.83,-1923.04,23,100,485
0,7836.78,5545,-2661,41,126,371
0,10787.8,103850,-4705,85,237,4804
