Iteration,Fitness,Chromosomes
0,5.37,[1.24, -25.26, -2.3, 9.32, -3.34]
10,0.97,[0.29, -25.25, -3.05, -3.17, -19.57]
20,0.13,[-0.02, 0.16, -0.02, -6.37, 13.07]
30,0.05,[0.02, 0.16, -0.02, 3.24, 13.07]
40,0.05,[0.02, 0.16, -0.02, 3.24, 13.07]
50,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
60,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
70,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
80,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
90,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
100,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
110,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
120,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
130,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
140,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
150,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
160,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
170,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
180,0.01,[-0.09, 0.02, -0.02, 3.24, 13.07]
190,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
200,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
210,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
220,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
230,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
240,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
250,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
260,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
270,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
280,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
290,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
300,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
310,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
320,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
330,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
340,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
350,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
360,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
370,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
380,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
390,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
400,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
410,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
420,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
430,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
440,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
450,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
460,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
470,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
480,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
490,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
500,0.0,[-0.09, -0.0, -0.02, 0.02, 13.07]
